# Starting Date: Sun Jul 28 10:55:12 AEST 2019
# Termination Date: Sun Jul 28 10:55:14 AEST 2019
# Time Used: 00:02
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/NO-OV
# File: CeO2-04.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 31 	 -17659.7273741680 	 5	 	 0.000249 YES	 	 0.000053 YES	 	 0.003774 NO	 	 0.000345 YES
 	 32 	 -17659.7273756310 	 4	 	 0.000206 YES	 	 0.000051 YES	 	 0.003741 NO	 	 0.000345 YES
 	 33 	 -17659.7273772710 	 4	 	 0.000192 YES	 	 0.000048 YES	 	 0.007478 NO	 	 0.000690 YES
 	 34 	 -17659.7273812610 	 6	 	 0.000183 YES	 	 0.000028 YES	 	 0.014698 NO	 	 0.001380 NO
 	 35 	 -17659.7273859830 	 7	 	 0.000163 YES	 	 0.000029 YES	 	 0.026151 NO	 	 0.002760 NO
 	 36 	 -17659.7273929460 	 7	 	 0.000185 YES	 	 0.000043 YES	 	 0.048856 NO	 	 0.005520 NO
 	 37 	 -17659.7274029150 	 9	 	 0.000371 YES	 	 0.000070 YES	 	 0.090177 NO	 	 0.011041 NO
 	 38 	 -17659.7274125900 	 8	 	 0.001493 NO	 	 0.000179 YES	 	 0.035158 NO	 	 0.004156 NO
 	 39 	 -17659.7274246950 	 7	 	 0.000607 NO	 	 0.000116 YES	 	 0.022851 NO	 	 0.003878 NO
 	 40 	 -17659.7274333080 	 8	 	 0.000463 NO	 	 0.000092 YES	 	 0.094368 NO	 	 0.010822 NO
 	 41 	 -17659.7274541100 	 10	 	 0.000506 NO	 	 0.000089 YES	 	 0.085728 NO	 	 0.010432 NO
 	 42 	 -17659.7274682770 	 10	 	 0.000464 NO	 	 0.000098 YES	 	 0.018186 NO	 	 0.001997 NO
 	 43 	 -17659.7274748420 	 4	 	 0.000688 NO	 	 0.000101 YES	 	 0.051595 NO	 	 0.010234 NO
xxx 	 44 	 -17659.7274576400 	 9	 	 0.000688 NO	 	 0.000101 YES	 	 0.009537 NO	 	 0.002559 NO
 	 45 	 -17659.7274822580 	 10	 	 0.001002 NO	 	 0.000120 YES	 	 0.028110 NO	 	 0.002559 NO
 	 46 	 -17659.7274887490 	 10	 	 0.000416 YES	 	 0.000072 YES	 	 0.034899 NO	 	 0.003778 NO
 	 47 	 -17659.7274938860 	 7	 	 0.000966 NO	 	 0.000103 YES	 	 0.014388 NO	 	 0.002193 NO
 	 48 	 -17659.7274965980 	 7	 	 0.000822 NO	 	 0.000090 YES	 	 0.009765 NO	 	 0.001802 NO
 	 49 	 -17659.7275000380 	 7	 	 0.000265 YES	 	 0.000050 YES	 	 0.042849 NO	 	 0.004869 NO
 	 50 	 -17659.7275018850 	 4	 	 0.000346 YES	 	 0.000058 YES	 	 0.005354 NO	 	 0.001037 YES
 	 51 	 -17659.7275063130 	 8	 	 0.000218 YES	 	 0.000038 YES	 	 0.012852 NO	 	 0.001603 NO
 	 52 	 -17659.7275078590 	 8	 	 0.000162 YES	 	 0.000032 YES	 	 0.007352 NO	 	 0.000916 YES
 	 53 	 -17659.7275084900 	 6	 	 0.000172 YES	 	 0.000032 YES	 	 0.015779 NO	 	 0.001696 NO
 	 54 	 -17659.7275097690 	 6	 	 0.000123 YES	 	 0.000026 YES	 	 0.002485 NO	 	 0.000509 YES
xxx 	 55 	 -17659.7275090770 	 6	 	 0.000123 YES	 	 0.000026 YES	 	 0.000627 YES	 	 0.000127 YES
 	 56 	 -17659.7277459000 	 7	 	 0.000494 NO	 	 0.000059 YES	 	 0.000711 YES	 	 0.000127 YES
 	 57 	 -17659.7277465910 	 3	 	 0.000418 YES	 	 0.000051 YES	 	 0.001492 YES	 	 0.000255 YES
 	 58 	 -17659.7277437330 	 4	 	 0.000275 YES	 	 0.000037 YES	 	 0.001508 YES	 	 0.000255 YES
# Done!
