# Starting Date: Mon Jul 22 09:26:22 AEST 2019
# Termination Date: Mon Jul 22 09:26:23 AEST 2019
# Time Used: 00:01
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/NEAR-OV-H2O
# File: CeO2-37.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 33 	 -17584.4450068200 	 6	 	 0.000214 YES	 	 0.000057 YES	 	 0.001918 NO	 	 0.000471 YES
 	 34 	 -17584.4450268280 	 20	 	 0.000188 YES	 	 0.000046 YES	 	 0.001805 NO	 	 0.000471 YES
 	 35 	 -17584.4450298760 	 10	 	 0.000164 YES	 	 0.000043 YES	 	 0.004858 NO	 	 0.000942 YES
 	 36 	 -17584.4450339350 	 12	 	 0.000152 YES	 	 0.000034 YES	 	 0.008656 NO	 	 0.001884 NO
 	 37 	 -17584.4450374480 	 14	 	 0.000090 YES	 	 0.000029 YES	 	 0.006081 NO	 	 0.001121 YES
 	 38 	 -17584.4450397760 	 12	 	 0.000094 YES	 	 0.000023 YES	 	 0.003314 NO	 	 0.000856 YES
 	 39 	 -17584.4450415820 	 7	 	 0.000083 YES	 	 0.000021 YES	 	 0.002367 NO	 	 0.000548 YES
 	 40 	 -17584.4450434440 	 11	 	 0.000056 YES	 	 0.000016 YES	 	 0.001517 YES	 	 0.000327 YES
 	 41 	 -17584.4450181290 	 22	 	 0.000258 YES	 	 0.000044 YES	 	 0.004935 NO	 	 0.000926 YES
 	 42 	 -17584.4450233520 	 8	 	 0.000145 YES	 	 0.000033 YES	 	 0.001451 YES	 	 0.000318 YES
 	 43 	 -17584.4450402390 	 7	 	 0.000151 YES	 	 0.000025 YES	 	 0.002549 NO	 	 0.000627 YES
 	 44 	 -17584.4450421870 	 7	 	 0.000062 YES	 	 0.000017 YES	 	 0.002700 NO	 	 0.000405 YES
 	 45 	 -17584.4450439590 	 6	 	 0.000047 YES	 	 0.000013 YES	 	 0.000673 YES	 	 0.000160 YES
 	 46 	 -17584.4449901850 	 11	 	 0.000213 YES	 	 0.000028 YES	 	 0.002633 NO	 	 0.000683 YES
 	 47 	 -17584.4449919870 	 11	 	 0.000091 YES	 	 0.000017 YES	 	 0.001059 YES	 	 0.000192 YES
 	 48 	 -17584.4450118070 	 10	 	 0.000177 YES	 	 0.000023 YES	 	 0.003204 NO	 	 0.000722 YES
 	 49 	 -17584.4450137260 	 12	 	 0.000034 YES	 	 0.000008 YES	 	 0.000980 YES	 	 0.000157 YES
 	 50 	 -17584.4449951680 	 7	 	 0.000192 YES	 	 0.000026 YES	 	 0.002775 NO	 	 0.000734 YES
 	 51 	 -17584.4449972590 	 11	 	 0.000068 YES	 	 0.000013 YES	 	 0.001452 YES	 	 0.000240 YES
 	 52 	 -17584.4450085720 	 15	 	 0.000226 YES	 	 0.000027 YES	 	 0.004092 NO	 	 0.000870 YES
 	 53 	 -17584.4450110740 	 8	 	 0.000061 YES	 	 0.000010 YES	 	 0.001609 YES	 	 0.000246 YES
 	 54 	 -17584.4449918160 	 10	 	 0.000204 YES	 	 0.000027 YES	 	 0.003193 NO	 	 0.000881 YES
 	 55 	 -17584.4449934310 	 12	 	 0.000049 YES	 	 0.000012 YES	 	 0.001266 YES	 	 0.000222 YES
# Done!
