# Starting Date: Wed Jul 17 18:19:27 AEST 2019
# Termination Date: Wed Jul 17 18:19:32 AEST 2019
# Time Used: 00:05
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-9H2O/OV-Original-Input-Geometry/NEAR-OV-H2O
# File: ZrO2.out
# Cycle Number | Total Energy (Ha) | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 45 	 -333115.8105284700	 0.005427 NO	 	 0.000685 NO	 	 0.070445 NO	 	 0.015428 NO
 	 46 	 -333115.8109481900	 0.004369 NO	 	 0.000589 NO	 	 0.066926 NO	 	 0.023542 NO
 	 47 	 -333115.8114227100	 0.004354 NO	 	 0.000559 NO	 	 0.097688 NO	 	 0.027102 NO
 	 48 	 -333115.8120233400	 0.004011 NO	 	 0.000516 NO	 	 0.044334 NO	 	 0.011470 NO
 	 49 	 -333115.8122731800	 0.003869 NO	 	 0.000480 NO	 	 0.062697 NO	 	 0.018980 NO
 	 50 	 -333115.8126805200	 0.003628 NO	 	 0.000429 NO	 	 0.118048 NO	 	 0.028056 NO
 	 51 	 -333115.8128192400	 0.004203 NO	 	 0.000460 NO	 	 0.031494 NO	 	 0.010129 NO
 	 52 	 -333115.8130521100	 0.004077 NO	 	 0.000411 NO	 	 0.042912 NO	 	 0.014027 NO
 	 53 	 -333115.8132761800	 0.004170 NO	 	 0.000392 NO	 	 0.058360 NO	 	 0.022851 NO
 	 54 	 -333115.8134549100	 0.003967 NO	 	 0.000399 NO	 	 0.036216 NO	 	 0.018344 NO
 	 55 	 -333115.8136074700	 0.003983 NO	 	 0.000377 NO	 	 0.062854 NO	 	 0.031664 NO
 	 56 	 -333115.8137374100	 0.003746 NO	 	 0.000369 NO	 	 0.026939 NO	 	 0.006308 NO
 	 57 	 -333115.8138787900	 0.003731 NO	 	 0.000323 NO	 	 0.030084 NO	 	 0.015406 NO
 	 58 	 -333115.8140005400	 0.003752 NO	 	 0.000309 NO	 	 0.017227 NO	 	 0.010251 NO
 	 59 	 -333115.8141421700	 0.003586 NO	 	 0.000284 YES	 	 0.032704 NO	 	 0.019970 NO
 	 60 	 -333115.8142737900	 0.003159 NO	 	 0.000283 YES	 	 0.030377 NO	 	 0.022224 NO
 	 61 	 -333115.8143902400	 0.002637 NO	 	 0.000288 YES	 	 0.030282 NO	 	 0.023141 NO
 	 62 	 -333115.8145462300	 0.001971 NO	 	 0.000275 YES	 	 0.078383 NO	 	 0.057274 NO
 	 63 	 -333115.8146358800	 0.001739 NO	 	 0.000326 NO	 	 0.014650 NO	 	 0.007605 NO
 	 64 	 -333115.8147378100	 0.001575 NO	 	 0.000287 YES	 	 0.087287 NO	 	 0.051430 NO
 	 65 	 -333115.8149853400	 0.001397 NO	 	 0.000301 NO	 	 0.047222 NO	 	 0.028265 NO
 	 66 	 -333115.8151174700	 0.001610 NO	 	 0.000315 NO	 	 0.222535 NO	 	 0.136320 NO
 	 67 	 -333115.8195384700	 0.006724 NO	 	 0.000611 NO	 	 0.135597 NO	 	 0.072604 NO
 	 68 	 -333115.8202471100	 0.004436 NO	 	 0.000588 NO	 	 0.109035 NO	 	 0.055773 NO
 	 69 	 -333115.8206508600	 0.003558 NO	 	 0.000594 NO	 	 0.108082 NO	 	 0.047482 NO
 	 70 	 -333115.8211574000	 0.005260 NO	 	 0.000635 NO	 	 0.222647 NO	 	 0.136320 NO
 	 71 	 -333115.8217718700	 0.007886 NO	 	 0.000810 NO	 	 0.251520 NO	 	 0.111966 NO
 	 72 	 -333115.8223171400	 0.006518 NO	 	 0.000948 NO	 	 0.130618 NO	 	 0.083414 NO
 	 73 	 -333115.8238918800	 0.007243 NO	 	 0.000794 NO	 	 0.269842 NO	 	 0.136320 NO
 	 74 	 -333115.8252389600	 0.083840 NO	 	 0.003047 NO	 	 0.247082 NO	 	 0.136320 NO
 	 75 	 -333115.8282335000	 0.200204 NO	 	 0.006959 NO	 	 3.718315 NO	 	 0.136320 NO
# Done!
