# Starting Date: Sat Oct  5 14:54:40 AEST 2019
# Termination Date: Sat Oct  5 14:54:42 AEST 2019
# Time Used: 00:02
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/NO-OV/option4
# File: /short/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/NO-OV/option4/CeO2-02.out
# CYCLE_NUMBER | TOTAL_ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200) | TRUST_RADIUS
 	 1 	 -17658.7779513330 	 6	 	 0.005326 NO	 	 0.000992 NO	 	 0.000000 	 	 0.000000 	           0.000
 	 2 	 -17660.2629440310 	 21	 	 0.013710 NO	 	 0.001698 NO	 	 0.193147 NO	 	 0.031129 NO	           0.500
 	 3 	 -17660.2629593180 	 13	 	 0.017891 NO	 	 0.002763 NO	 	 0.052056 NO	 	 0.007782 NO	           0.125
 	 4 	 -17660.2639607370 	 10	 	 0.009828 NO	 	 0.001774 NO	 	 0.104601 NO	 	 0.015564 NO	           0.250
 	 5 	 -17660.2641639650 	 11	 	 0.012789 NO	 	 0.001837 NO	 	 0.089805 NO	 	 0.015564 NO	           0.250
 	 6 	 -17660.2650469210 	 10	 	 0.005019 NO	 	 0.000892 NO	 	 0.097196 NO	 	 0.015564 NO	           0.250
 	 7 	 -17660.2652146490 	 11	 	 0.010880 NO	 	 0.001525 NO	 	 0.021172 NO	 	 0.003891 NO	           0.062
 	 8 	 -17660.2654750280 	 6	 	 0.009994 NO	 	 0.001195 NO	 	 0.047586 NO	 	 0.007782 NO	           0.125
 	 9 	 -17660.2657228120 	 6	 	 0.008869 NO	 	 0.001105 NO	 	 0.082395 NO	 	 0.015564 NO	           0.250
 	 10 	 -17660.2659444020 	 11	 	 0.003601 NO	 	 0.000719 NO	 	 0.091115 NO	 	 0.015564 NO	           0.250
 	 11 	 -17660.2662025430 	 10	 	 0.005953 NO	 	 0.000914 NO	 	 0.061885 NO	 	 0.015564 NO	           0.250
 	 12 	 -17660.2663735800 	 10	 	 0.009926 NO	 	 0.001272 NO	 	 0.096100 NO	 	 0.015564 NO	           0.250
 	 13 	 -17660.2668493170 	 9	 	 0.007585 NO	 	 0.000913 NO	 	 0.085280 NO	 	 0.015564 NO	           0.250
 	 14 	 -17660.2671764890 	 11	 	 0.002867 NO	 	 0.000646 NO	 	 0.090859 NO	 	 0.015564 NO	           0.250
 	 15 	 -17660.2672693870 	 9	 	 0.004287 NO	 	 0.000812 NO	 	 0.083819 NO	 	 0.015564 NO	           0.250
 	 16 	 -17660.2675823480 	 7	 	 0.004810 NO	 	 0.000914 NO	 	 0.105625 NO	 	 0.015564 NO	           0.250
 	 17 	 -17660.2678232250 	 11	 	 0.005530 NO	 	 0.000878 NO	 	 0.095570 NO	 	 0.015564 NO	           0.250
 	 18 	 -17660.2678244150 	 10	 	 0.006161 NO	 	 0.000981 NO	 	 0.028303 NO	 	 0.003891 NO	           0.062
 	 19 	 -17660.2680041690 	 7	 	 0.003374 NO	 	 0.000610 NO	 	 0.021998 NO	 	 0.003891 NO	           0.062
 	 20 	 -17660.2681155610 	 6	 	 0.003254 NO	 	 0.000600 NO	 	 0.046922 NO	 	 0.007782 NO	           0.125
 	 21 	 -17660.2683703410 	 6	 	 0.002004 NO	 	 0.000410 NO	 	 0.078999 NO	 	 0.015564 NO	           0.250
# Done!
