# Starting Date: Tue Aug  6 09:08:33 AEST 2019
# Termination Date: Tue Aug  6 09:08:35 AEST 2019
# Time Used: 00:02
# Directory: /short/ep0/hm1876/CeO2/PH/CeO2-H3O+-8H2O/NO-OV
# File: CeO2-06.out
# CYCLE NUMBER | TOTAL ENERGY (Ha) | SCF_CYCLES | MAX_GRADIENT(0.000450) | RMS_GRADIENT(0.000300) | MAX_DISPLAC.(0.001800) | RMS_DISPLAC.(0.001200)
 	 1 	 -17658.7931349450 	 4	 	 0.000895 NO	 	 0.000143 YES	 	 0.000000 	 	 0.000000 
xxx 	 2 	 -17660.2702327480 	 4	 	 0.000895 NO	 	 0.000143 YES	 	 0.052224 NO	 	 0.007782 NO
xxx 	 3 	 -17660.2711650940 	 6	 	 0.000895 NO	 	 0.000143 YES	 	 0.011104 NO	 	 0.001946 NO
 	 4 	 -17660.2711906110 	 4	 	 0.000826 NO	 	 0.000126 YES	 	 0.012287 NO	 	 0.001946 NO
 	 5 	 -17660.2712020130 	 4	 	 0.000629 NO	 	 0.000098 YES	 	 0.012456 NO	 	 0.001946 NO
 	 6 	 -17660.2712063530 	 4	 	 0.000498 NO	 	 0.000111 YES	 	 0.013213 NO	 	 0.001946 NO
 	 7 	 -17660.2712139230 	 4	 	 0.000771 NO	 	 0.000125 YES	 	 0.011998 NO	 	 0.001946 NO
 	 8 	 -17660.2712190450 	 4	 	 0.000587 NO	 	 0.000101 YES	 	 0.008114 NO	 	 0.001946 NO
 	 9 	 -17660.2712225470 	 4	 	 0.000287 YES	 	 0.000073 YES	 	 0.009254 NO	 	 0.001946 NO
 	 10 	 -17660.2712230750 	 4	 	 0.000257 YES	 	 0.000072 YES	 	 0.002734 NO	 	 0.000486 YES
 	 11 	 -17660.2712247400 	 3	 	 0.000254 YES	 	 0.000068 YES	 	 0.002241 NO	 	 0.000486 YES
 	 12 	 -17660.2712269480 	 3	 	 0.000267 YES	 	 0.000059 YES	 	 0.006985 NO	 	 0.000973 YES
 	 13 	 -17660.2712289580 	 3	 	 0.000232 YES	 	 0.000047 YES	 	 0.008210 NO	 	 0.000973 YES
 	 14 	 -17660.2712306590 	 4	 	 0.000231 YES	 	 0.000040 YES	 	 0.005138 NO	 	 0.000973 YES
 	 15 	 -17660.2712318760 	 4	 	 0.000230 YES	 	 0.000042 YES	 	 0.004765 NO	 	 0.000973 YES
 	 16 	 -17660.2712333430 	 3	 	 0.000230 YES	 	 0.000044 YES	 	 0.006419 NO	 	 0.000973 YES
 	 17 	 -17660.2712346120 	 4	 	 0.000228 YES	 	 0.000045 YES	 	 0.010086 NO	 	 0.001946 NO
 	 18 	 -17660.2712367940 	 4	 	 0.000209 YES	 	 0.000045 YES	 	 0.011797 NO	 	 0.001946 NO
 	 19 	 -17660.2712367090 	 4	 	 0.000178 YES	 	 0.000048 YES	 	 0.002393 NO	 	 0.000486 YES
 	 20 	 -17660.2712374270 	 3	 	 0.000167 YES	 	 0.000046 YES	 	 0.004875 NO	 	 0.000973 YES
 	 21 	 -17660.2712386400 	 4	 	 0.000175 YES	 	 0.000037 YES	 	 0.007654 NO	 	 0.000973 YES
 	 22 	 -17660.2712401470 	 3	 	 0.000162 YES	 	 0.000034 YES	 	 0.009354 NO	 	 0.001946 NO
 	 23 	 -17660.2712413810 	 4	 	 0.000127 YES	 	 0.000031 YES	 	 0.009989 NO	 	 0.001946 NO
 	 24 	 -17660.2712418690 	 4	 	 0.000167 YES	 	 0.000034 YES	 	 0.002641 NO	 	 0.000486 YES
 	 25 	 -17660.2712427430 	 3	 	 0.000102 YES	 	 0.000026 YES	 	 0.006232 NO	 	 0.000973 YES
 	 26 	 -17660.2712438940 	 4	 	 0.000080 YES	 	 0.000020 YES	 	 0.014711 NO	 	 0.001946 NO
xxx 	 27 	 -17660.2712433890 	 4	 	 0.000080 YES	 	 0.000020 YES	 	 0.003777 NO	 	 0.000486 YES
 	 28 	 -17660.2712445570 	 3	 	 0.000080 YES	 	 0.000020 YES	 	 0.004956 NO	 	 0.000973 YES
 	 29 	 -17660.2712450130 	 4	 	 0.000057 YES	 	 0.000018 YES	 	 0.004793 NO	 	 0.000973 YES
 	 30 	 -17660.2712452870 	 3	 	 0.000079 YES	 	 0.000019 YES	 	 0.005175 NO	 	 0.000973 YES
 	 31 	 -17660.2712458780 	 4	 	 0.000053 YES	 	 0.000014 YES	 	 0.009993 NO	 	 0.001946 NO
xxx 	 32 	 -17660.2712450240 	 4	 	 0.000053 YES	 	 0.000014 YES	 	 0.002171 NO	 	 0.000486 YES
 	 33 	 -17660.2712461040 	 3	 	 0.000051 YES	 	 0.000013 YES	 	 0.004573 NO	 	 0.000973 YES
 	 34 	 -17660.2712461450 	 3	 	 0.000059 YES	 	 0.000019 YES	 	 0.001980 NO	 	 0.000243 YES
 	 35 	 -17660.2712463630 	 3	 	 0.000034 YES	 	 0.000009 YES	 	 0.003342 NO	 	 0.000486 YES
 	 36 	 -17660.2712465710 	 4	 	 0.000047 YES	 	 0.000009 YES	 	 0.003830 NO	 	 0.000620 YES
 	 37 	 -17660.2712466480 	 3	 	 0.000109 YES	 	 0.000022 YES	 	 0.005520 NO	 	 0.000764 YES
 	 38 	 -17660.2712466160 	 3	 	 0.000029 YES	 	 0.000008 YES	 	 0.000000 	 	 0.000000 
# Done!
